model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",35,86.26,0.1374,0.0,0.11457246541976929,0.16823551058769226,0.15712298452854156,0.10978500545024872,0.0015404577134177089,0.0005166075425222516,0.02123,0.03339008986949921,38.26,0.9267,0.14999999999999858,0.83,0.419,0.5906
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",36,86.12,0.1388,0.0,0.12072436511516571,0.209596186876297,0.12520115077495575,0.099485844373703,0.001487506553530693,0.0005253871786408126,0.02122,0.03232381120324135,38.4,0.9243,0.1599999999999966,0.819,0.3962,0.5676
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",37,85.36,0.1464,0.0,0.1171451061964035,0.21999655663967133,0.15084844827651978,0.09748275578022003,0.0014164885506033897,0.0005265853251330554,0.02051,0.030793720856308937,38.7,0.9261,0.1700000000000017,0.8029,0.3844,0.5553
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",38,86.85,0.1315,0.0,0.10584542900323868,0.1524064838886261,0.15391114354133606,0.11366131901741028,0.0014090710319578648,0.0005349987186491489,0.01985,0.028746813535690308,39.12,0.9293,0.17999999999999972,0.7753,0.3757,0.5462
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",39,84.23,0.1577,0.0,0.10492296516895294,0.2351873815059662,0.1710221767425537,0.119610995054245,0.001444366411305964,0.0005461066612042487,0.02011,0.029852893203496933,38.91,0.9267,0.1699999999999946,0.7734,0.3523,0.521
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",40,86.09,0.1391,0.0,0.11941112577915192,0.20872986316680908,0.11647166311740875,0.1115882396697998,0.0015189418336376548,0.0005397702916525304,0.01997,0.02987363561987877,38.93,0.9294,0.14000000000000057,0.8048,0.3749,0.5454
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",41,85.39,0.1461,0.0,0.13097144663333893,0.2250702977180481,0.13680598139762878,0.09171593189239502,0.001610002014786005,0.0005247597582638264,0.02115,0.03183417767286301,38.51,0.9259,0.12999999999999545,0.8046,0.3777,0.5483
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",42,84.48,0.1552,0.0,0.11598146706819534,0.2408113181591034,0.14761030673980713,0.11653800308704376,0.001551130786538124,0.0005194013356231153,0.02168,0.033105529844760895,38.22,0.9253,0.14000000000000057,0.828,0.4302,0.6016
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",43,84.8,0.152,0.0,0.10682393610477448,0.25525566935539246,0.13778582215309143,0.10803751647472382,0.0014939673710614443,0.0005219195736572146,0.02126,0.03218728303909302,38.34,0.9222,0.1600000000000037,0.8157,0.4243,0.5958
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",44,86.05,0.1395,0.0,0.1265636831521988,0.16440317034721375,0.14986225962638855,0.11712180078029633,0.0014478843659162521,0.0005192444659769535,0.02099,0.031287871301174164,38.47,0.9216,0.1700000000000017,0.7953,0.3951,0.5664
